order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
32,federal,,data_table,,,Liabilities & Net Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,federal,,row,Liabilities & Net Worth,Liabilities,Depository Institution Reserves,FL713113003.Q,29792,27456,25228,26489,21446,21819,28631,48107,41784,39347,38327,38658,29413,32079,34951,30789,29611,24524,30838,26306,24027,19045,17478,22541,23058,24043,19043,18699,20767,860000,976988,968052,1562253,1491045,2249070,2377996,1977166
34,federal,,row,Liabilities & Net Worth,Liabilities,Vault Cash of Depository Institutions,FL703025005.Q,18488,19828,18645,19556,21023,24273,25537,25652,24858,27561,28671,32590,33603,31870,32671,38129,40562,45186,45004,42057,66555,44391,47330,47818,47951,41528,50081,51712,54997,57725,54922,52722,60801,71071,73622,75669,74230
35,federal,,row,Liabilities & Net Worth,Due to Federal Government,Treasury Cash Holdings,FL713123023.Q,494,437,444,429,463,513,550,427,446,395,455,561,636,508,377,335,270,249,225,85,109,450,425,367,321,270,202,252,259,259,239,177,128,150,234,201,266
36,federal,,row,Liabilities & Net Worth,Due to Federal Government,Treasury General Deposit Account,FL713123030.Q,4075,3062,4301,5033,3661,5316,9351,7588,5313,8656,6217,8960,17697,7492,14809,7161,5979,7742,5444,6086,28402,5149,6645,4420,5723,5912,4573,4708,16120,106123,186632,140773,85737,92720,162399,223452,333447
37,federal,,row,Liabilities & Net Worth,Due to Federal Government,Treasury Temporary Supplementary Financing Account,FL713123043.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259325,5001,199964,0,0,0,0,0
38,federal,,row,Liabilities & Net Worth,Checkable Deposits and Currency,Due to Federal Government,FL713123005.Q,4569,3499,4745,5462,4124,5829,9901,8015,5759,9051,6672,9521,18333,8000,15186,7496,6249,7991,5669,6171,28511,5599,7070,4787,6044,6182,4775,4960,16379,365707,191872,340914,85865,92870,162633,223653,333713
39,federal,,row,Liabilities & Net Worth,Checkable Deposits and Currency,Due to Rest of the World,FL713122605.Q,785,543,684,435,461,422,540,424,313,374,607,390,985,237,396,256,404,181,464,177,85,229,74,146,176,95,95,113,111,1380,2425,3352,153,6455,7997,5259,5246
40,federal,,row,Liabilities & Net Worth,Checkable Deposits and Currency,Due to GSEs,FL713124003.Q,0,0,0,0,0,0,0,917,1027,548,1222,162,1626,247,285,772,818,785,799,1501,1123,1249,693,1052,578,1142,2019,812,1684,21073,35115,13483,64624,27201,25906,20155,31058
41,federal,,row,Liabilities & Net Worth,Checkable Deposits and Currency,Due to Currency Outside Banks,FL713125005.Q,107114,117429,126925,136608,150912,159523,171928,186345,205333,220088,231784,254373,274153,302831,332600,365714,383682,405462,437323,475427,561804,549303,595971,639700,676236,713349,743933,768464,773941,832173,873327,930028,1015019,1098088,1167606,1267288,1350737
42,federal,,row,Liabilities & Net Worth,Liabilities,Checkable Deposits and Currency,FL713120005.Q,112468,121471,132354,142505,155497,165774,182369,195701,212432,230061,240285,264446,295097,311315,348467,374238,391153,414419,444255,483276,591523,556380,603808,645685,683034,720768,750822,774349,792115,1220333,1102739,1287777,1165661,1224614,1364142,1516355,1720754
43,federal,,row,Liabilities & Net Worth,Security Repurchase Agreements,Reverse Repurchase Agreement Operations,FL712151103.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197755,396705,474592
44,federal,,row,Liabilities & Net Worth,Security Repurchase Agreements,Other Security Repurchase Agreements,FL712151115.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21091,25652,30783,30505,29615,43985,88352,77732,59703,99900,107188,118169,113132,237809
45,federal,,row,Liabilities & Net Worth,Liabilities,Security Repurchase Agreements,FL712151003.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21091,25652,30783,30505,29615,43985,88352,77732,59703,99900,107188,315924,509837,712401
46,federal,,row,Liabilities & Net Worth,Liabilities,Federal Reserve Bank Stock,FL713164003.Q,1145,1203,1278,1359,1465,1626,1781,1874,2047,2113,2243,2423,2652,3054,3401,3683,3966,4602,5433,5952,6432,6997,7373,8380,8847,11914,13536,15325,18450,21076,25640,26524,26899,27360,27507,28572,29451
47,federal,,row,Liabilities & Net Worth,Liabilities,Unidentified Miscellaneous Liabilities,FL713193005.Q,3618,2565,3118,2991,2769,3127,3064,1875,2668,3686,2935,1756,1187,367,944,1559,2637,1973,3224,3293,1886,2327,-342,-246,-550,609,1756,3194,2168,2177,2542,30363,2825,6324,15995,18386,18110
48,federal,subtotal,row,Liabilities & Net Worth,Liabilities & Net Worth,Liabilities,FL714190005.Q,165511,172523,180623,192900,202200,216619,241382,273209,283789,302768,312461,339873,361952,378685,420434,448398,467929,490704,528754,560884,690423,629140,675647,745269,787992,829645,865743,892894,932482,2249663,2240563,2425141,2918339,2927602,4046260,4526815,4532112
49,federal,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Net Worth,Assets - Liabilities,-165511,2183,2398,2604,2776,3004,3272,3500,3808,3990,4249,4544,4850,5392,6218,7054,8297,9680,11365,12993,14932,15871,16343,17126,17473,20810,22461,25458,29017,32065,36231,36992,37469,38040,38223,39386,20909
50,federal,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Total Liabilities and Net Worth,,,174706,183021,195504,204976,219623,244654,276709,287597,306758,316710,344417,366802,384077,426652,455452,476226,500384,540119,573877,705355,645011,691990,762395,805465,850455,888204,918352,961499,2281728,2276794,2462133,2955808,2965642,4084483,4566201,4553021
