order,name,parent,data_table,type,style,government_type,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
46,Nonofficial foreign currencies,Financial Assets,Assets,row,,federal,FL313091105.Q,924,720,1820,1913,1875,2191,1874,920,925,590,705,674,1330,1624,2985,2410,2281,2065,2189,1978,2269,2436,2550,2593,2627,2627,2627,2627,2627,2627,2627,2627,2627,2626,2626,2626,2626,2626
47,Equity in Private-Public Investment Program,Financial Assets,Assets,row,,federal,FL313094303.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,5196,3056,0,0,0,0
48,"U.S. equity in IBRD, etc.",Financial Assets,Assets,row,,federal,FL313092803.Q,7292,8076,9031,10094,11335,12726,14152,15759,16802,18037,19282,20715,21976,23432,24608,25981,27424,29198,31037,32615,34132,35492,37282,38787,40235,42233,43534,45586,47368,48760,50358,52636,55285,57761,59966,62207,64610,66540
49,Equity in GSEs (non-corporate equities),Financial Assets,Assets,row,,federal,FL313092403.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Unidentified miscellaneous assets,Financial Assets,Assets,row,,federal,FL313093003.Q,0,0,0,0,0,0,0,0,0,0,9098,35476,79118,97334,86970,89173,86283,83731,72098,77214,82236,85154,86431,86797,87519,89073,89985,90665,91689,68258,47312,80309,83011,79643,79251,91740,103380,114394
51,Financial Assets,Assets,Assets,row,subtotal,federal,FL314090005.Q + FL343061733.Q + FL343064133.Q + FL343063033.Q,203095,231309,252737,286125,314486,331718,359117,388864,385612,387783,375173,438998,481528,518987,481195,455048,467010,462583,520524,536480,598726,598210,621142,670215,683447,672392,669727,713738,751157,1062146,1464575,1573206,1422880,1512055,1637414,1825291,1987819,2292515
52,Structures,Nonfinancial Assets (excluding land),Assets,row,,federal,FL315014665.Q,388978,429179,458774,481209,488894,504710,525069,539464,568151,582237,615505,637356,662505,675448,704869,732870,767193,799090,822491,850366,883772,919769,945619,966118,993244,1059564,1154326,1242070,1310653,1358611,1328321,1343161,1393978,1434565,1467942,1503630,1508785,1511182
53,Equipment,Nonfinancial Assets (excluding land),Assets,row,,federal,FL315013265.Q,174402,191503,216587,239306,260872,277009,293765,312499,326805,348532,380443,401709,426130,444753,464530,484231,483527,480764,470167,463598,470257,467356,461842,460064,471586,490197,514333,544953,569328,604660,639501,670638,707933,728346,729064,742681,742335,743625
54,Intellectual Property,Nonfinancial Assets (excluding land),Assets,row,,federal,FL315013765.Q,198641,223806,250628,274709,296164,319712,341333,360628,384588,416892,439973,461684,481275,489901,499204,514426,535579,538536,550128,554416,568878,591357,600779,617321,647065,679888,718508,752847,799204,840604,853619,908427,946578,970135,989479,1009070,1017931,1031281
55,Nonfinancial Assets (excluding land),Assets,Assets,row,subtotal,federal,FL312010095.Q,762021,844488,925989,995224,1045930,1101431,1160167,1212591,1279544,1347661,1435921,1500749,1569910,1610102,1668603,1731527,1786299,1818390,1842786,1868380,1922907,1978482,2008240,2043503,2111895,2229649,2387167,2539870,2679185,2803875,2821441,2922226,3048489,3133046,3186485,3255381,3269051,3286088
