order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
37,state_local,,row,ASSETS,Nonfinancial Assets (excluding land),Equipment,FL215013265.Q,36991,41430,46774,50444,53641,57741,63005,68900,75746,82146,90748,100258,109890,116875,123373,131069,139143,146321,151823,156918,164993,175271,182912,189243,193134,200579,206488,209497,217165,228084,238457,244132,245332,247161,245970,248684,250031,249416
38,state_local,,row,ASSETS,Nonfinancial Assets (excluding land),Intellectual Property,FL215013765.Q,7941,9307,10797,12237,13537,15116,16671,18167,20053,22464,25440,28917,32342,35043,38222,40534,43230,44451,46305,48798,52052,56114,60081,62421,65642,69521,73413,77568,83401,90799,95660,101571,107682,113053,117818,123774,127634,133092
39,state_local,subtotal,row,ASSETS,ASSETS,Nonfinancial Assets (excluding land),FL212010095.Q,1202353,1396073,1599432,1733058,1775473,1816738,1889007,1997456,2125272,2239516,2351314,2486443,2589601,2674782,2816695,2953686,3157153,3311052,3484309,3646356,3891102,4181172,4432456,4689519,4927937,5254635,5924264,6585858,7366219,7837534,8257506,8395303,8788199,9274699,9530391,9851608,10078682,10258720
40,state_local,,total_row,ASSETS,ASSETS,Assets (excluding land),Nonfinancial Assets + Financial Assets,1637412,1879751,2143441,2330394,2471510,2595554,2820798,3156784,3471464,3671183,3934217,4209737,4404309,4622970,4892398,5094602,5484967,5856164,6366777,6993340,7615346,8179000,8401214,8559305,8821986,9639438,10667130,11803982,13247394,13579450,13161411,13567257,14406270,14876801,15474165,16239237,16676345,16932161
41,state_local,expandable,data_table,,,LIABILITIES & NET WORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,state_local,,row,LIABILITIES & NET WORTH,Debt Securities (Municipal Securities),Municipal Securities,FL213162005.Q - FL213062003.Q - FL223062043.Q,292639,314350,336055,371580,418307,466001,529820,672790,759771,827300,888901,949324,997017,1068640,1117944,1118240,1065000,1027422,1030278,1105653,1158483,1176256,1244765,1361363,1514891,2380403,2568833,2674099,2850519,2936821,2999442,3089482,3088484,3103111,3077468,3019330,3023978,3041050
43,state_local,,row,LIABILITIES & NET WORTH,Debt Securities (Municipal Securities),Municipal Securities (Pension),FL223062043.Q,3867,4025,3995,3848,2483,2264,1278,1196,606,742,403,486,487,534,617,845,1131,1297,2059,2227,3241,2836,1779,822,851,8253,1555,1815,1431,1318,1049,1680,2214,745,2253,2363,2220,2444
44,state_local,,row,LIABILITIES & NET WORTH,Liabilities,Debt Securities (Municipal Securities),FL213162005.Q - FL213062003.Q,296506,318375,340050,375428,420790,468265,531098,673986,760377,828042,889304,949810,997504,1069174,1118561,1119085,1066131,1028719,1032337,1107880,1161724,1179092,1246544,1362185,1515742,2388656,2570388,2675914,2851950,2938139,3000491,3091162,3090698,3103856,3079721,3021693,3026198,3043494
45,state_local,,row,LIABILITIES & NET WORTH,Liabilities,Loans from U.S. Government,FL213169203.Q,6648,6779,8570,9606,10350,11000,24367,27050,25175,23300,9403,9170,9403,10000,9613,9240,9626,10384,10016,10082,10199,8584,8971,9322,9623,9804,10187,10922,11603,12195,13060,13771,14697,15667,15965,16408,16723,17117
46,state_local,,row,LIABILITIES & NET WORTH,Liabilities,Trade Payables,FL213170003.Q,52845,58546,64649,71099,77999,85435,93724,102911,112681,123119,134396,146740,160065,174157,188757,204156,220874,238464,257541,277491,299341,323289,349460,377020,405644,434859,465672,498870,534368,572126,610908,649802,688067,726524,764470,802902,842429,882987
47,state_local,,row,LIABILITIES & NET WORTH,Liabilities,"Unfunded Pension Entitlements (i.e., not explicitly backed by assets held in pension fund account) (pension)",FL223073045.Q,86346,86084,83610,96677,72179,75691,59806,28643,-23857,-8957,-7732,24164,32506,94863,117391,152446,78765,-15151,-168642,-352898,-450772,-488133,-201340,119453,347540,271254,403030,359603,187227,559987,1470953,1560396,1501910,1745486,1648176,1468196,1590996,1915557
48,state_local,,row,LIABILITIES & NET WORTH,Liabilities,Other Pension Liabilities (Pension),FL224190043.Q - FL223062043.Q - FL223073045.Q,158750,179717,206096,229088,289362,318816,373081,447870,547385,576791,666340,739288,804111,885051,1009322,1063436,1243332,1446462,1697770,1994202,2226339,2412607,2295732,2156838,2108581,2464206,2634754,2910115,3306811,3131066,2405536,2621422,3002174,2950445,3237476,3638912,3769708,3711837
49,state_local,subtotal,row,LIABILITIES & NET WORTH,LIABILITIES & NET WORTH,Liabilities,FL214190005.Q - FL213062003.Q + FL224190043.Q - FL223062043.Q - FL223073045.Q,601095,649501,702975,781898,870680,959207,1082076,1280460,1421761,1542295,1691711,1869172,2003589,2233245,2443644,2548363,2618728,2708878,2829022,3036757,3246831,3435439,3699367,4024818,4387130,5568779,6084031,6455424,6891959,7213513,7500948,7936553,8297546,8541978,8745808,8948111,9246054,9570992
50,state_local,subtotal,row,LIABILITIES & NET WORTH,LIABILITIES & NET WORTH,Net Worth,Assets - Liabilities,1036317,1230250,1440466,1548496,1600830,1636347,1738722,1876324,2049703,2128888,2242506,2340565,2400720,2389725,2448754,2546239,2866239,3147286,3537755,3956583,4368515,4743561,4701847,4534487,4434856,4070659,4583099,5348558,6355435,6365937,5660463,5630704,6108724,6334823,6728357,7291126,7430291,7361169
51,state_local,,total_row,LIABILITIES & NET WORTH,LIABILITIES & NET WORTH,Total Liabilities and Net Worth,,1637412,1879751,2143441,2330394,2471510,2595554,2820798,3156784,3471464,3671183,3934217,4209737,4404309,4622970,4892398,5094602,5484967,5856164,6366777,6993340,7615346,8179000,8401214,8559305,8821986,9639438,10667130,11803982,13247394,13579450,13161411,13567257,14406270,14876801,15474165,16239237,16676345,16932161
52,state_local,memo,data_table,,,Memo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,state_local,,row,Memo:,Memo:,Total Pension Assets (includes defined benefit pension plans),,158134,178857,204954,227660,287693,316639,370163,444113,542624,570879,659160,729467,790299,867259,985687,1038414,1216378,1417344,1666891,1961962,2191865,2365418,2252120,2113786,2061814,2420490,2592754,2843331,3199602,3020405,2306243,2526892,2889689,2830708,3108753,3478466,3616402,3561700
54,state_local,,row,Memo:,Memo:,Total Pension Liabilities (includes defined benefit pension plans),FL224190043.Q,248963,269826,293701,329613,364024,396771,434165,477709,524134,568576,659011,763938,837104,980448,1127330,1216727,1323228,1432608,1531187,1643531,1778808,1927310,2096171,2277113,2456972,2743713,3039339,3271533,3495469,3692371,3877538,4183498,4506298,4696676,4887905,5109471,5362924,5629838
55,state_local,,row,Memo:,Memo:,Net Worth excluding pension assets and liabilities,,1127146,1321219,1529213,1650449,1677161,1716479,1802724,1909920,2031213,2126585,2242357,2375036,2447525,2502914,2590397,2724552,2973089,3162550,3402051,3638152,3955458,4305453,4545898,4697814,4830014,4393882,5029684,5776760,6651302,7037903,7231758,7287310,7725333,8200791,8507509,8922131,9176813,9429307
