order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
38,combined,,row,Assets,Financial Assets,Equity in GSEs (non-corporate equities),FL313092403.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,combined,,row,Assets,Financial Assets,Unidentified miscellaneous assets,FL313093003.Q + FL213093003.Q,229,154,270,172,429,1320,1692,9176,9655,7227,16749,45777,90491,109014,87240,83945,149298,116671,191691,257434,229384,217389,207325,174214,168384,164638,169752,176939,187275,165456,138982,173742,178380,177703,182695,202549,220874,240068
40,combined,,row,Assets,Financial Assets,Unidentified miscellaneous assets (Pensions),,0,35,105,202,351,439,404,680,765,483,3919,7829,4763,4741,4725,4074,4581,5438,5173,5916,6524,7232,9394,9921,10316,12017,55576,103875,110929,108666,76165,87917,106635,90533,101119,110010,122499,111762
41,combined,subtotal,row,Assets,Assets,Financial Assets,FL314090005.Q + FL343061733.Q + FL343064133.Q + FL343063033.Q + FL214090005.Q + FL224090045 - FL223062043 - FL213062003 - FL213169203.Q - FL213061105.Q - FL223061143.Q,528945,607790,660201,715891,815895,879835,997639,1129991,1228348,1298071,1439027,1579422,1690847,1843703,1894854,1940428,2253731,2492736,2934216,3401438,3800416,4083080,4073080,4042987,4058640,4522269,4776469,5243337,5823722,6024835,5627848,6002614,6295740,6342335,6777658,7401685,7760518,8068472
42,combined,,row,Assets,Nonfinancial Assets (excluding land),Structures,FL215014665.Q,1546399,1774515,2000635,2151586,2197189,2248591,2334400,2449853,2597624,2717143,2850631,2994624,3109874,3198312,3359969,3514953,3741973,3919370,4108672,4291006,4557829,4869556,5135082,5403973,5662405,6044099,6798689,7540863,8376306,8877262,9251710,9392761,9829163,10349050,10634545,10982780,11209802,11387394
43,combined,,row,Assets,Nonfinancial Assets (excluding land),Equipment,FL215013265.Q,211393,232933,263361,289750,314513,334750,356770,381399,402551,430678,471191,501967,536020,561628,587903,615300,622670,627085,621990,620516,635250,642627,644754,649307,664720,690776,720821,754450,786493,832744,877958,914770,953265,975507,975034,991365,992366,993041
44,combined,,row,Assets,Nonfinancial Assets (excluding land),Intellectual Property,FL215013765.Q,206582,233113,261425,286946,309701,334828,358004,378795,404641,439356,465413,490601,513617,524944,537426,554960,578809,582987,596433,603214,620930,647471,660860,679742,712707,749409,791921,830415,882605,931403,949279,1009998,1054260,1083188,1107297,1132844,1145565,1164373
45,combined,subtotal,row,Assets,Assets,Nonfinancial Assets (excluding land),FL212010095.Q,1964374,2240561,2525421,2728282,2821403,2918169,3049174,3210047,3404816,3587177,3787235,3987192,4159511,4284884,4485298,4685213,4943452,5129442,5327095,5514736,5814009,6159654,6440696,6733022,7039832,7484284,8311431,9125728,10045404,10641409,11078947,11317529,11836688,12407745,12716876,13106989,13347733,13544808
46,combined,,total_row,Assets,Assets,Assets (excluding land),Nonfinancial Assets + Financial Assets,2493319,2848351,3185622,3444173,3637298,3798004,4046813,4340038,4633164,4885248,5226262,5566614,5850358,6128587,6380152,6625641,7197183,7622178,8261311,8916174,9614425,10242734,10513776,10776009,11098472,12006553,13087900,14369065,15869126,16666244,16706795,17320143,18132428,18750080,19494534,20508674,21108251,21613280
47,combined,,data_table,,,Liabilities & Net Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,combined,expandable,row,Liabilities & Net Worth,Liabilities,SDR Allocations,FL313111303.Q,4175,5305,5608,5254,5178,4895,5191,5945,6270,6322,6270,6823,6703,7216,6949,7189,7380,7052,6689,6719,6799,6359,6316,6481,7005,7197,7102,7234,7627,7630,55953,54958,55150,54463,54177,52358,49574,49294
49,combined,,row,Liabilities & Net Worth,Liabilities,SDR Certificates,FL713014003.Q,1800,3268,3318,4218,4618,4618,4618,5018,5018,5018,8518,8518,10018,10018,8018,8018,10168,9718,9200,9200,7200,3200,2200,2200,2200,2200,2200,2200,2200,2200,5200,5200,5200,5200,5200,5200,5200,5200
50,combined,,row,Liabilities & Net Worth,Liabilities,Treasury Currency,FL313112003.Q,10262,10925,11374,11764,12241,12739,13255,13647,14105,14574,15166,15713,16170,16433,16784,17477,18199,18866,19326,19886,20902,23181,24462,25450,26015,26673,27401,28065,27484,26742,26299,25923,25923,25923,25573,25323,25323,25322
51,combined,,row,Liabilities & Net Worth,Debt Securities,Treasury Securities,FL313161100.Q + FL403061193.Q - FL213061105.Q - FL223061143.Q,530638,596160,648012,756802,938346,1070288,1219205,1335381,1395978,1533461,1651964,1800410,2075447,2353736,2566811,2788599,3060896,3228399,3286310,3214975,3101000,2889165,2805010,3018789,3373169,3734577,3911135,4113332,4215680,5028063,6794884,8260824,9387283,10488867,11188410,11965345,12274114,13243617
52,combined,,row,Liabilities & Net Worth,Debt Securities,Treasury Securities (Pensions),FL313161283.Q + FL343061145.Q + FL223061143.Q,80894,96923,112110,134365,157778,193295,238651,291245,353255,396933,434377,484895,514582,587579,649063,681253,712899,749227,800133,824099,862258,882834,905046,929969,946370,966028,1015405,1035858,1059570,1098182,1155569,1228837,1306758,1396167,1345769,1550493,1458977,1687364
53,combined,,row,Liabilities & Net Worth,Debt Securities,Municipal Securities,FL213162005.Q - FL213062003.Q - FL223062043.Q,292639,314350,336055,371580,418307,466001,529820,672790,759771,827300,888901,949324,997017,1068640,1117944,1118240,1065000,1027422,1030278,1105653,1158483,1176256,1244765,1361363,1514891,2380403,2568833,2674099,2850519,2936821,2999442,3089482,3088484,3103111,3077468,3019330,3023978,3041050
54,combined,,row,Liabilities & Net Worth,Debt Securities,Municipal Securities (Pensions),FL223062043.Q,3867,4025,3995,3848,2483,2264,1278,1196,606,742,403,486,487,534,617,845,1131,1297,2059,2227,3241,2836,1779,822,851,8253,1555,1815,1431,1318,1049,1680,2214,745,2253,2363,2220,2444
55,combined,,row,Liabilities & Net Worth,Debt Securities,Budget Agency Securities,FL313161703.Q,3063,2724,2445,2256,2133,2068,2028,2372,2849,12176,25342,32603,17602,18119,24654,28162,26940,27437,26089,25455,28276,27621,26960,27170,27023,24183,23636,23385,22953,23098,23202,23971,24982,24394,25098,23857,24095,24363
56,combined,,row,Liabilities & Net Worth,Debt Securities,Loan Participation Certificates,FL313161785.Q,2007,1849,1725,1187,1187,1187,1187,1187,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,combined,,row,Liabilities & Net Worth,Liabilities,Debt Securities,FL314122005.Q + FL213162005.Q - FL213062003.Q - FL213061105.Q - FL223061143.Q,913108,1016031,1104342,1270038,1520234,1735103,1992169,2304171,2513511,2770612,3000987,3267718,3605135,4028608,4359089,4617099,4866866,5033782,5144869,5172409,5153258,4978712,4983560,5338113,5862304,7113444,7520564,7848489,8150153,9087482,10974146,12604794,13809721,15013284,15638998,16561388,16783384,17998838
58,combined,,row,Liabilities & Net Worth,Liabilities,Multifamily Residential Mortgages,FL313165403.Q,680,572,465,353,261,152,83,40,22,20,13,10,10,8,7,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,combined,,row,Liabilities & Net Worth,Liabilities,Trade Payables,FL313170005.Q + FL213170003.Q,81521,88378,95858,106068,117168,132726,149904,173974,191475,209658,230289,241800,249226,259467,276130,290840,303621,321934,334410,347654,369905,404186,433752,461470,546672,606089,665264,713077,773790,857004,832219,863360,913375,962692,1018943,1061861,1111317,1165564
60,combined,,row,Liabilities & Net Worth,Liabilities,Life Insurance Reserves,FL313140003.Q,12359,12860,13473,14242,15164,16230,17282,18428,20518,20654,21790,22985,24118,25454,26941,28405,29445,30648,31763,33099,34455,35958,37155,38684,39930,40994,42055,43470,45116,46054,47239,48092,49498,50381,50357,50911,50822,51261
61,combined,,row,Liabilities & Net Worth,Liabilities,Liability due to FICO,FL313193013.Q,0,0,0,0,0,0,0,0,962,3583,7483,7437,6705,6631,6548,6640,6618,7174,4192,6700,6701,6554,6392,6203,6000,5780,5550,5296,5015,4404,4069,3704,3307,2873,2402,1888,1329,722
62,combined,,row,Liabilities & Net Worth,Retiree Health Care Funds,Uniform Services Retiree Health Care Fund,FL313195100.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18445,35864,52873,72740,92191,112726,126821,142289,161741,176113,188664,200372,205793,213482
63,combined,,row,Liabilities & Net Worth,Retiree Health Care Funds,Postal Services Retiree Health Benefits Fund,FL313195113.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25491,32293,35115,42115,43707,45347,42324,48467,45236,51495
